# Per-city monthly history, built by scripts/import-rdc-history.mjs from
# Realtor.com's ZIP history file. One row per city per month.
# Aggregated identically to the current month (scripts/rdc-shared.mjs).
# zipCount is how many ZIPs reported that month; a change in it can move the
# median for reasons that have nothing to do with the market.
# Columns: slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
slug,month,medianPrice,pricePerSqft,daysOnMarket,activeListings,zipCount
waukesha,201704,289900,141,36,327,3
waukesha,201705,272450,139,30,374,3
waukesha,201706,269975,140,33,398,3
waukesha,201707,276950,137,39,371,3
waukesha,201708,277400,138,41,362,3
waukesha,201709,272400,138,44,358,3
waukesha,201710,253425,136,49,346,3
waukesha,201711,256375,135,52,307,3
waukesha,201712,246950,134,65,256,3
waukesha,201801,260650,136,73,206,3
waukesha,201802,259675,135,63,183,3
waukesha,201803,285400,139,29,199,3
waukesha,201804,250000,136,24,249,3
waukesha,201805,261175,141,28,302,3
waukesha,201806,269000,141,30,314,3
waukesha,201807,269450,143,35,323,3
waukesha,201808,264950,141,30,333,3
waukesha,201809,252450,144,38,323,3
waukesha,201810,249925,141,42,302,3
waukesha,201811,271150,150,46,281,3
waukesha,201812,307400,150,62,240,3
waukesha,201901,322400,153,62,206,3
waukesha,201902,328725,148,48,206,3
waukesha,201903,325100,151,39,233,3
waukesha,201904,339300,155,37,265,3
waukesha,201905,313100,154,38,285,3
waukesha,201906,282500,149,35,298,3
waukesha,201907,297975,150,31,308,3
waukesha,201908,296518,147,34,312,3
waukesha,201909,292795,148,37,316,3
waukesha,201910,284400,149,40,314,3
waukesha,201911,275000,144,43,254,3
waukesha,201912,291825,150,51,216,3
waukesha,202001,315550,153,54,201,3
waukesha,202002,324900,153,50,192,3
waukesha,202003,299999,163,30,220,3
waukesha,202004,302450,159,34,217,3
waukesha,202005,329000,155,33,200,3
waukesha,202006,323675,155,26,238,3
waukesha,202007,303975,154,31,260,3
waukesha,202008,302450,154,30,265,3
waukesha,202009,299925,156,29,263,3
waukesha,202010,307400,158,32,262,3
waukesha,202011,308650,156,37,237,3
waukesha,202012,307425,157,46,171,3
waukesha,202101,325000,153,54,121,3
waukesha,202102,319750,152,29,119,3
waukesha,202103,264975,161,26,149,3
waukesha,202104,272425,163,25,173,3
waukesha,202105,324900,159,23,187,3
waukesha,202106,309925,162,22,207,3
waukesha,202107,314950,169,23,237,3
waukesha,202108,333650,171,30,241,3
waukesha,202109,349900,172,34,220,3
waukesha,202110,344450,170,33,211,3
waukesha,202111,359900,172,38,201,3
waukesha,202112,399675,180,38,144,3
waukesha,202201,437000,206,39,103,3
waukesha,202202,402200,200,32,112,3
waukesha,202203,377450,196,24,123,3
waukesha,202204,364900,187,27,143,3
waukesha,202205,349900,185,22,192,3
waukesha,202206,370950,176,28,224,3
waukesha,202207,391950,185,23,248,3
waukesha,202208,409950,186,32,250,3
waukesha,202209,438725,187,38,208,3
waukesha,202210,454900,198,41,184,3
waukesha,202211,462450,191,43,174,3
waukesha,202212,482450,206,47,136,3
waukesha,202301,520640,233,66,112,3
waukesha,202302,475000,229,42,120,3
waukesha,202303,495750,232,39,121,3
waukesha,202304,496200,215,33,142,3
waukesha,202305,449950,205,29,152,3
waukesha,202306,462425,211,31,158,3
waukesha,202307,469900,203,30,177,3
waukesha,202308,482450,199,28,175,3
waukesha,202309,499900,209,32,166,3
waukesha,202310,492450,210,28,188,3
waukesha,202311,457975,209,30,196,3
waukesha,202312,460000,216,44,162,3
waukesha,202401,549298,241,47,139,3
waukesha,202402,515000,238,40,121,3
waukesha,202403,500000,219,36,135,3
waukesha,202404,473725,222,34,157,3
waukesha,202405,499950,225,26,175,3
waukesha,202406,499900,220,34,198,3
waukesha,202407,494675,216,35,192,3
waukesha,202408,475000,215,29,201,3
waukesha,202409,473538,219,30,206,3
waukesha,202410,457225,215,34,214,3
waukesha,202411,434950,214,43,198,3
waukesha,202412,399900,219,47,149,3
waukesha,202501,424900,226,47,126,3
waukesha,202502,422725,226,37,135,3
waukesha,202503,450000,228,33,128,3
waukesha,202504,430000,233,32,137,3
waukesha,202505,399900,220,22,181,3
waukesha,202506,432500,226,25,185,3
waukesha,202507,444900,226,29,186,3
waukesha,202508,429900,227,28,188,3
waukesha,202509,379900,229,30,188,3
waukesha,202510,414900,221,32,190,3
waukesha,202511,433900,227,38,180,3
waukesha,202512,419950,228,48,137,3
waukesha,202601,512450,240,54,119,3
waukesha,202602,464900,227,39,129,3
waukesha,202603,439900,251,32,157,3
waukesha,202604,499974,239,32,173,3
waukesha,202605,499950,242,30,184,3
waukesha,202606,516150,250,31,196,3
brookfield,201607,449900,145,50,245,2
brookfield,201608,449425,144,59,258,2
brookfield,201609,459900,149,64,258,2
brookfield,201610,432450,148,72,242,2
brookfield,201611,462175,149,75,217,2
brookfield,201612,464450,150,83,171,2
brookfield,201701,474950,146,97,153,2
brookfield,201702,425850,149,62,172,2
brookfield,201703,400000,150,44,198,2
brookfield,201704,399900,148,42,213,2
brookfield,201705,415550,142,46,214,2
brookfield,201706,426225,146,40,234,2
brookfield,201707,439450,149,44,222,2
brookfield,201708,419700,150,52,213,2
brookfield,201709,399900,151,54,204,2
brookfield,201710,409950,148,60,185,2
brookfield,201711,412400,150,73,147,2
brookfield,201712,412500,151,93,121,2
brookfield,201801,409750,153,89,108,2
brookfield,201802,434825,148,56,115,2
brookfield,201803,440000,147,35,142,2
brookfield,201804,440000,150,39,141,2
brookfield,201805,427175,150,35,152,2
brookfield,201806,444450,152,39,188,2
brookfield,201807,424950,152,44,189,2
brookfield,201808,439900,150,47,188,2
brookfield,201809,447450,152,45,166,2
brookfield,201810,463475,153,54,157,2
brookfield,201811,424925,153,47,162,2
brookfield,201812,424950,155,62,122,2
brookfield,201901,465500,155,76,107,2
brookfield,201902,507175,153,43,118,2
brookfield,201903,512779,152,44,137,2
brookfield,201904,547454,153,48,156,2
brookfield,201905,514725,152,41,197,2
brookfield,201906,415000,153,37,214,2
brookfield,201907,459450,152,42,208,2
brookfield,201908,473745,153,45,201,2
brookfield,201909,480864,155,50,184,2
brookfield,201910,482359,158,54,173,2
brookfield,201911,464450,163,43,152,2
brookfield,201912,475375,163,56,118,2
brookfield,202001,473350,164,75,107,2
brookfield,202002,458950,161,39,123,2
brookfield,202003,410975,160,30,136,2
brookfield,202004,399850,158,38,128,2
brookfield,202005,425000,157,44,142,2
brookfield,202006,443675,160,30,165,2
brookfield,202007,429900,161,35,169,2
brookfield,202008,450000,161,34,173,2
brookfield,202009,475725,163,40,147,2
brookfield,202010,499900,168,36,138,2
brookfield,202011,469900,165,39,121,2
brookfield,202012,459974,162,54,100,2
brookfield,202101,454950,160,73,65,2
brookfield,202102,459500,173,30,75,2
brookfield,202103,489675,175,24,95,2
brookfield,202104,462474,178,32,103,2
brookfield,202105,462500,175,23,116,2
brookfield,202106,448700,175,28,127,2
brookfield,202107,447450,178,24,141,2
brookfield,202108,423725,175,29,152,2
brookfield,202109,399675,179,31,145,2
brookfield,202110,374950,170,36,132,2
brookfield,202111,381200,189,36,101,2
brookfield,202112,409950,192,52,61,2
brookfield,202201,427000,191,50,43,2
brookfield,202202,399900,181,21,58,2
brookfield,202203,442450,181,21,70,2
brookfield,202204,469900,184,25,83,2
brookfield,202205,499900,199,24,113,2
brookfield,202206,399975,198,22,129,2
brookfield,202207,527400,193,29,137,2
brookfield,202208,497400,183,29,145,2
brookfield,202209,389000,206,36,107,2
brookfield,202210,494900,192,28,101,2
brookfield,202211,447150,200,36,82,2
brookfield,202212,449900,200,41,54,2
brookfield,202301,426300,211,42,41,2
brookfield,202302,382450,210,29,46,2
brookfield,202303,407450,198,22,56,2
brookfield,202304,519900,203,30,49,2
brookfield,202305,514975,199,21,62,2
brookfield,202306,492450,202,28,71,2
brookfield,202307,485000,207,28,89,2
brookfield,202308,483700,204,32,83,2
brookfield,202309,474900,203,25,82,2
brookfield,202310,495925,199,30,71,2
brookfield,202311,499500,215,29,58,2
brookfield,202312,459300,217,40,44,2
brookfield,202401,419700,223,53,42,2
brookfield,202402,437000,229,47,38,2
brookfield,202403,520000,233,21,46,2
brookfield,202404,437463,214,16,63,2
brookfield,202405,537400,219,21,77,2
brookfield,202406,587400,212,24,89,2
brookfield,202407,569900,213,30,88,2
brookfield,202408,575000,210,23,95,2
brookfield,202409,532375,212,28,103,2
brookfield,202410,598150,218,30,104,2
brookfield,202411,599950,226,42,87,2
brookfield,202412,639900,244,64,68,2
brookfield,202501,707425,290,65,59,2
brookfield,202502,777400,288,56,60,2
brookfield,202503,699900,252,27,79,2
brookfield,202504,722400,237,37,81,2
brookfield,202505,645000,232,29,120,2
brookfield,202506,599000,235,35,130,2
brookfield,202507,577975,231,39,117,2
brookfield,202508,574900,233,37,101,2
brookfield,202509,559975,238,35,102,2
brookfield,202510,557450,238,29,112,2
brookfield,202511,577450,239,34,114,2
brookfield,202512,591225,243,44,84,2
brookfield,202601,595000,254,63,76,2
brookfield,202602,622400,254,43,82,2
brookfield,202603,629900,249,38,84,2
brookfield,202604,614975,244,30,94,2
brookfield,202605,584900,237,29,112,2
brookfield,202606,582200,240,33,118,2
new-berlin,201607,271950,139,39,146,2
new-berlin,201608,269900,139,34,146,2
new-berlin,201609,274600,139,40,149,2
new-berlin,201610,249900,136,48,128,2
new-berlin,201611,246225,133,56,123,2
new-berlin,201612,244900,133,64,95,2
new-berlin,201701,239925,132,56,84,2
new-berlin,201702,239050,135,36,89,2
new-berlin,201703,239900,138,35,104,2
new-berlin,201704,260000,138,30,102,2
new-berlin,201705,267975,139,33,103,2
new-berlin,201706,279900,146,24,122,2
new-berlin,201707,279900,141,30,131,2
new-berlin,201708,273650,144,36,141,2
new-berlin,201709,269900,142,41,123,2
new-berlin,201710,274900,148,37,114,2
new-berlin,201711,263650,145,46,100,2
new-berlin,201712,264900,145,59,71,2
new-berlin,201801,262500,145,70,63,2
new-berlin,201802,269900,147,52,67,2
new-berlin,201803,279450,143,29,72,2
new-berlin,201804,279450,143,24,98,2
new-berlin,201805,284125,145,27,116,2
new-berlin,201806,284900,144,29,118,2
new-berlin,201807,296225,147,34,117,2
new-berlin,201808,296725,149,27,132,2
new-berlin,201809,286450,149,36,135,2
new-berlin,201810,279000,151,41,113,2
new-berlin,201811,279900,151,47,99,2
new-berlin,201812,295400,148,51,82,2
new-berlin,201901,289900,148,58,71,2
new-berlin,201902,273650,155,42,66,2
new-berlin,201903,279900,154,33,75,2
new-berlin,201904,297400,155,31,93,2
new-berlin,201905,302400,155,25,115,2
new-berlin,201906,299900,157,31,126,2
new-berlin,201907,299950,156,30,116,2
new-berlin,201908,306505,155,30,107,2
new-berlin,201909,301411,158,31,108,2
new-berlin,201910,299241,161,32,105,2
new-berlin,201911,305000,161,42,98,2
new-berlin,201912,302425,155,56,67,2
new-berlin,202001,299900,158,62,57,2
new-berlin,202002,284900,155,39,66,2
new-berlin,202003,311250,160,23,87,2
new-berlin,202004,306875,160,34,82,2
new-berlin,202005,309900,166,29,79,2
new-berlin,202006,324900,159,30,103,2
new-berlin,202007,324900,161,31,96,2
new-berlin,202008,309900,161,29,82,2
new-berlin,202009,302250,157,29,96,2
new-berlin,202010,284900,165,28,100,2
new-berlin,202011,288475,173,38,76,2
new-berlin,202012,296625,171,36,53,2
new-berlin,202101,307000,163,43,40,2
new-berlin,202102,327900,160,28,42,2
new-berlin,202103,322425,172,21,52,2
new-berlin,202104,327400,174,21,71,2
new-berlin,202105,319900,171,23,75,2
new-berlin,202106,344675,174,23,75,2
new-berlin,202107,349900,177,22,97,2
new-berlin,202108,349675,178,28,108,2
new-berlin,202109,337450,177,30,99,2
new-berlin,202110,322400,169,30,85,2
new-berlin,202111,304900,172,29,82,2
new-berlin,202112,299900,177,39,40,2
new-berlin,202201,289900,163,32,27,2
new-berlin,202202,294950,176,16,35,2
new-berlin,202203,362450,182,17,44,2
new-berlin,202204,415000,187,22,49,2
new-berlin,202205,387450,185,22,57,2
new-berlin,202206,359900,189,22,69,2
new-berlin,202207,377000,184,23,73,2
new-berlin,202208,400950,188,28,71,2
new-berlin,202209,379900,191,25,67,2
new-berlin,202210,372450,185,29,72,2
new-berlin,202211,375000,181,40,67,2
new-berlin,202212,399400,190,47,40,2
new-berlin,202301,450925,190,58,28,2
new-berlin,202302,426150,182,24,35,2
new-berlin,202303,409950,189,20,36,2
new-berlin,202304,389900,191,23,48,2
new-berlin,202305,418225,196,22,53,2
new-berlin,202306,409900,202,24,50,2
new-berlin,202307,399900,206,23,51,2
new-berlin,202308,389950,204,23,54,2
new-berlin,202309,425000,194,24,51,2
new-berlin,202310,402425,193,21,59,2
new-berlin,202311,372375,188,32,54,2
new-berlin,202312,382450,193,37,39,2
new-berlin,202401,394700,202,38,26,2
new-berlin,202402,414950,208,22,26,2
new-berlin,202403,392400,194,22,26,2
new-berlin,202404,394900,218,20,39,2
new-berlin,202405,424925,205,22,44,2
new-berlin,202406,424900,215,16,62,2
new-berlin,202407,399675,214,26,54,2
new-berlin,202408,419000,200,22,53,2
new-berlin,202409,423250,211,23,69,2
new-berlin,202410,409950,227,27,68,2
new-berlin,202411,399900,224,32,41,2
new-berlin,202412,414900,217,35,26,2
new-berlin,202501,411775,212,29,22,2
new-berlin,202502,402425,227,16,29,2
new-berlin,202503,429950,230,20,32,2
new-berlin,202504,440000,225,16,42,2
new-berlin,202505,415000,223,23,51,2
new-berlin,202506,421225,225,23,57,2
new-berlin,202507,449950,227,25,55,2
new-berlin,202508,449900,229,24,59,2
new-berlin,202509,430000,223,26,69,2
new-berlin,202510,399900,222,24,72,2
new-berlin,202511,375000,221,30,58,2
new-berlin,202512,364950,224,40,41,2
new-berlin,202601,389000,223,47,26,2
new-berlin,202602,414900,218,22,31,2
new-berlin,202603,459975,220,25,38,2
new-berlin,202604,467450,226,31,43,2
new-berlin,202605,475000,225,23,58,2
new-berlin,202606,465000,222,27,63,2
menomonee-falls,201607,312450,148,49,232,1
menomonee-falls,201608,317400,152,49,219,1
menomonee-falls,201609,329300,153,54,204,1
menomonee-falls,201610,324900,153,54,199,1
menomonee-falls,201611,339900,153,54,186,1
menomonee-falls,201612,349900,154,67,176,1
menomonee-falls,201701,399225,157,85,160,1
menomonee-falls,201702,369400,156,88,171,1
menomonee-falls,201703,371800,159,55,189,1
menomonee-falls,201704,349900,154,46,196,1
menomonee-falls,201705,349925,155,48,193,1
menomonee-falls,201706,339900,156,44,196,1
menomonee-falls,201707,347400,157,44,184,1
menomonee-falls,201708,330400,157,38,195,1
menomonee-falls,201709,342400,159,43,200,1
menomonee-falls,201710,349900,164,52,188,1
menomonee-falls,201711,349900,164,51,166,1
menomonee-falls,201712,374900,167,65,137,1
menomonee-falls,201801,399850,173,82,124,1
menomonee-falls,201802,399825,168,61,139,1
menomonee-falls,201803,374900,169,40,159,1
menomonee-falls,201804,374850,165,40,167,1
menomonee-falls,201805,369900,172,40,176,1
menomonee-falls,201806,374900,170,42,175,1
menomonee-falls,201807,371150,163,37,185,1
menomonee-falls,201808,369900,162,40,197,1
menomonee-falls,201809,369900,163,48,203,1
menomonee-falls,201810,379900,163,46,194,1
menomonee-falls,201811,373725,163,53,178,1
menomonee-falls,201812,389900,167,72,152,1
menomonee-falls,201901,420175,173,92,140,1
menomonee-falls,201902,389900,174,79,146,1
menomonee-falls,201903,398086,173,57,143,1
menomonee-falls,201904,434450,184,48,150,1
menomonee-falls,201905,418900,177,42,170,1
menomonee-falls,201906,384900,160,42,166,1
menomonee-falls,201907,387450,159,36,175,1
menomonee-falls,201908,395355,164,37,173,1
menomonee-falls,201909,403536,165,38,171,1
menomonee-falls,201910,406541,166,41,172,1
menomonee-falls,201911,399900,171,52,161,1
menomonee-falls,201912,396900,183,68,129,1
menomonee-falls,202001,385450,183,65,125,1
menomonee-falls,202002,379900,180,57,130,1
menomonee-falls,202003,378650,171,35,136,1
menomonee-falls,202004,374900,170,34,138,1
menomonee-falls,202005,381450,167,43,149,1
menomonee-falls,202006,399900,171,37,156,1
menomonee-falls,202007,404575,171,42,146,1
menomonee-falls,202008,374900,170,33,134,1
menomonee-falls,202009,342450,168,31,158,1
menomonee-falls,202010,349900,172,41,143,1
menomonee-falls,202011,336850,173,45,112,1
menomonee-falls,202012,333600,173,45,85,1
menomonee-falls,202101,389900,182,60,66,1
menomonee-falls,202102,393650,185,31,71,1
menomonee-falls,202103,354975,175,29,88,1
menomonee-falls,202104,328475,181,28,96,1
menomonee-falls,202105,349000,181,29,104,1
menomonee-falls,202106,348475,177,22,105,1
menomonee-falls,202107,339900,173,28,112,1
menomonee-falls,202108,344225,178,29,121,1
menomonee-falls,202109,333700,183,30,125,1
menomonee-falls,202110,352400,183,30,122,1
menomonee-falls,202111,350925,182,42,97,1
menomonee-falls,202112,359900,189,42,75,1
menomonee-falls,202201,370000,198,55,51,1
menomonee-falls,202202,399299,208,29,46,1
menomonee-falls,202203,364950,180,23,56,1
menomonee-falls,202204,349950,185,23,65,1
menomonee-falls,202205,419900,197,24,84,1
menomonee-falls,202206,388725,194,27,83,1
menomonee-falls,202207,381950,191,23,92,1
menomonee-falls,202208,443500,186,30,99,1
menomonee-falls,202209,443450,202,43,73,1
menomonee-falls,202210,452450,204,29,87,1
menomonee-falls,202211,428675,208,37,81,1
menomonee-falls,202212,499900,227,34,59,1
menomonee-falls,202301,511175,236,45,57,1
menomonee-falls,202302,481000,228,32,63,1
menomonee-falls,202303,459900,226,33,59,1
menomonee-falls,202304,487900,218,26,58,1
menomonee-falls,202305,493450,209,27,69,1
menomonee-falls,202306,494225,214,29,82,1
menomonee-falls,202307,424900,223,29,90,1
menomonee-falls,202308,482700,223,29,87,1
menomonee-falls,202309,519900,218,37,76,1
menomonee-falls,202310,481000,215,29,97,1
menomonee-falls,202311,507000,221,39,75,1
menomonee-falls,202312,524999,237,58,56,1
menomonee-falls,202401,514900,254,58,45,1
menomonee-falls,202402,505000,250,40,51,1
menomonee-falls,202403,495500,234,30,69,1
menomonee-falls,202404,544650,241,30,74,1
menomonee-falls,202405,544900,246,29,91,1
menomonee-falls,202406,549900,241,30,100,1
menomonee-falls,202407,547400,239,31,110,1
menomonee-falls,202408,549900,242,36,110,1
menomonee-falls,202409,557425,246,38,107,1
menomonee-falls,202410,524950,247,37,117,1
menomonee-falls,202411,527450,250,46,109,1
menomonee-falls,202412,559182,252,70,89,1
menomonee-falls,202501,545203,255,48,73,1
menomonee-falls,202502,559422,250,36,80,1
menomonee-falls,202503,559900,251,40,88,1
menomonee-falls,202504,559900,255,31,95,1
menomonee-falls,202505,574900,247,33,115,1
menomonee-falls,202506,579900,246,33,120,1
menomonee-falls,202507,564950,244,30,119,1
menomonee-falls,202508,555000,244,32,123,1
menomonee-falls,202509,599850,244,39,98,1
menomonee-falls,202510,604850,247,39,104,1
menomonee-falls,202511,574900,241,43,102,1
menomonee-falls,202512,562000,244,54,88,1
menomonee-falls,202601,659450,261,54,77,1
menomonee-falls,202602,668650,281,45,83,1
menomonee-falls,202603,659900,274,38,96,1
menomonee-falls,202604,606200,255,36,101,1
menomonee-falls,202605,554900,244,36,119,1
menomonee-falls,202606,532800,244,31,127,1
pewaukee,201607,429900,164,64,233,1
pewaukee,201608,424900,161,63,230,1
pewaukee,201609,424900,161,66,224,1
pewaukee,201610,439945,159,81,204,1
pewaukee,201611,449900,163,87,175,1
pewaukee,201612,442495,163,94,144,1
pewaukee,201701,449225,168,103,128,1
pewaukee,201702,439945,167,77,133,1
pewaukee,201703,435900,165,58,141,1
pewaukee,201704,439945,161,48,160,1
pewaukee,201705,438740,156,50,192,1
pewaukee,201706,443900,154,47,196,1
pewaukee,201707,439800,155,51,199,1
pewaukee,201708,424900,156,54,185,1
pewaukee,201709,437350,161,64,175,1
pewaukee,201710,441218,161,65,157,1
pewaukee,201711,428925,160,69,134,1
pewaukee,201712,409500,168,72,124,1
pewaukee,201801,399825,174,60,112,1
pewaukee,201802,394450,161,64,122,1
pewaukee,201803,405000,160,47,128,1
pewaukee,201804,397400,166,40,132,1
pewaukee,201805,387450,167,38,138,1
pewaukee,201806,390000,166,39,158,1
pewaukee,201807,419075,161,48,156,1
pewaukee,201808,399900,161,49,158,1
pewaukee,201809,399900,161,53,146,1
pewaukee,201810,437450,164,55,128,1
pewaukee,201811,449900,167,57,108,1
pewaukee,201812,459900,167,59,105,1
pewaukee,201901,466450,169,62,98,1
pewaukee,201902,465700,166,57,110,1
pewaukee,201903,478514,167,43,114,1
pewaukee,201904,516475,169,45,122,1
pewaukee,201905,502350,161,40,142,1
pewaukee,201906,449900,159,42,152,1
pewaukee,201907,469450,162,43,144,1
pewaukee,201908,472382,166,45,138,1
pewaukee,201909,477455,167,49,130,1
pewaukee,201910,480836,168,49,125,1
pewaukee,201911,479900,175,51,113,1
pewaukee,201912,498900,173,61,88,1
pewaukee,202001,506400,172,75,73,1
pewaukee,202002,499900,169,35,89,1
pewaukee,202003,491950,172,42,103,1
pewaukee,202004,493625,172,46,124,1
pewaukee,202005,524900,180,50,120,1
pewaukee,202006,520150,176,40,130,1
pewaukee,202007,533675,176,43,124,1
pewaukee,202008,539900,177,46,110,1
pewaukee,202009,524925,180,40,102,1
pewaukee,202010,513950,174,39,88,1
pewaukee,202011,499900,183,44,71,1
pewaukee,202012,472400,187,50,51,1
pewaukee,202101,467400,187,60,42,1
pewaukee,202102,504950,170,34,52,1
pewaukee,202103,474450,174,34,57,1
pewaukee,202104,425000,185,26,73,1
pewaukee,202105,432900,187,26,85,1
pewaukee,202106,451950,185,29,89,1
pewaukee,202107,467400,188,29,90,1
pewaukee,202108,406250,183,29,99,1
pewaukee,202109,400000,180,31,106,1
pewaukee,202110,409000,180,38,86,1
pewaukee,202111,427450,186,38,64,1
pewaukee,202112,449900,186,57,47,1
pewaukee,202201,449900,185,57,35,1
pewaukee,202202,391175,195,30,40,1
pewaukee,202203,559473,219,27,49,1
pewaukee,202204,574900,231,30,51,1
pewaukee,202205,573700,205,23,80,1
pewaukee,202206,564450,199,29,93,1
pewaukee,202207,549900,200,29,87,1
pewaukee,202208,529900,201,34,78,1
pewaukee,202209,519900,206,39,62,1
pewaukee,202210,509900,208,30,57,1
pewaukee,202211,445000,219,31,52,1
pewaukee,202212,453500,224,42,50,1
pewaukee,202301,589900,250,54,44,1
pewaukee,202302,652425,253,38,39,1
pewaukee,202303,624900,252,38,44,1
pewaukee,202304,599900,232,29,57,1
pewaukee,202305,599900,240,30,70,1
pewaukee,202306,618675,240,27,71,1
pewaukee,202307,622450,243,30,78,1
pewaukee,202308,591400,234,32,77,1
pewaukee,202309,587900,230,36,79,1
pewaukee,202310,586925,223,37,71,1
pewaukee,202311,608320,235,44,66,1
pewaukee,202312,610695,238,47,54,1
pewaukee,202401,679000,266,53,44,1
pewaukee,202402,679000,267,39,42,1
pewaukee,202403,668900,270,36,50,1
pewaukee,202404,635400,256,35,60,1
pewaukee,202405,647925,245,36,70,1
pewaukee,202406,599900,249,29,87,1
pewaukee,202407,632870,246,41,78,1
pewaukee,202408,604790,241,34,86,1
pewaukee,202409,591188,244,33,98,1
pewaukee,202410,573945,242,30,111,1
pewaukee,202411,579995,257,39,99,1
pewaukee,202412,585195,270,51,84,1
pewaukee,202501,578120,269,59,69,1
pewaukee,202502,571240,267,55,62,1
pewaukee,202503,613490,257,30,60,1
pewaukee,202504,599945,259,34,74,1
pewaukee,202505,610450,255,29,88,1
pewaukee,202506,600000,255,36,94,1
pewaukee,202507,599225,251,38,84,1
pewaukee,202508,646900,249,30,94,1
pewaukee,202509,630425,256,35,99,1
pewaukee,202510,589950,254,40,99,1
pewaukee,202511,580000,259,50,84,1
pewaukee,202512,637400,272,47,68,1
pewaukee,202601,670900,270,50,55,1
pewaukee,202602,624968,255,43,67,1
pewaukee,202603,629990,252,33,72,1
pewaukee,202604,674925,255,37,82,1
pewaukee,202605,703900,267,45,83,1
pewaukee,202606,677492,257,35,90,1
muskego,201607,349900,144,41,100,1
muskego,201608,354900,144,45,94,1
muskego,201609,339900,143,45,90,1
muskego,201610,332400,143,46,97,1
muskego,201611,317000,140,55,85,1
muskego,201612,329900,140,81,53,1
muskego,201701,332740,139,100,45,1
muskego,201702,329900,141,36,57,1
muskego,201703,393500,147,37,62,1
muskego,201704,377000,146,31,65,1
muskego,201705,371150,154,33,66,1
muskego,201706,378200,164,31,65,1
muskego,201707,374900,165,31,66,1
muskego,201708,329700,158,29,82,1
muskego,201709,345950,157,39,83,1
muskego,201710,367400,158,52,78,1
muskego,201711,370600,160,52,72,1
muskego,201712,394450,160,84,57,1
muskego,201801,399950,158,106,47,1
muskego,201802,389900,165,66,51,1
muskego,201803,379900,166,40,50,1
muskego,201804,430925,169,32,53,1
muskego,201805,434975,165,32,68,1
muskego,201806,429900,164,36,73,1
muskego,201807,421200,167,39,75,1
muskego,201808,387450,163,34,79,1
muskego,201809,364900,166,40,68,1
muskego,201810,385750,161,42,58,1
muskego,201811,415000,167,40,59,1
muskego,201812,439999,170,46,57,1
muskego,201901,439999,175,51,54,1
muskego,201902,439999,171,55,53,1
muskego,201903,445335,173,47,59,1
muskego,201904,477425,187,38,74,1
muskego,201905,469950,191,39,87,1
muskego,201906,429999,181,38,83,1
muskego,201907,423700,179,35,91,1
muskego,201908,419972,173,41,98,1
muskego,201909,408682,167,48,95,1
muskego,201910,401155,162,51,91,1
muskego,201911,424450,167,51,78,1
muskego,201912,399000,172,54,60,1
muskego,202001,399950,169,64,53,1
muskego,202002,439500,168,51,48,1
muskego,202003,434823,158,33,50,1
muskego,202004,433223,163,32,57,1
muskego,202005,432495,168,35,63,1
muskego,202006,416250,173,39,61,1
muskego,202007,422450,173,38,58,1
muskego,202008,404450,168,30,60,1
muskego,202009,393675,172,30,65,1
muskego,202010,354450,166,35,62,1
muskego,202011,365700,169,43,40,1
muskego,202012,352175,172,48,30,1
muskego,202101,339900,186,40,23,1
muskego,202102,372950,184,24,24,1
muskego,202103,349250,185,26,23,1
muskego,202104,347088,183,17,32,1
muskego,202105,397500,183,23,40,1
muskego,202106,444900,197,26,44,1
muskego,202107,469900,190,22,61,1
muskego,202108,448700,184,38,62,1
muskego,202109,392400,191,30,60,1
muskego,202110,369900,179,34,50,1
muskego,202111,372400,181,41,37,1
muskego,202112,368675,191,63,20,1
muskego,202201,399900,203,57,15,1
muskego,202202,442975,210,28,18,1
muskego,202203,492499,189,22,25,1
muskego,202204,465000,197,23,30,1
muskego,202205,440975,211,22,35,1
muskego,202206,473500,224,29,36,1
muskego,202207,449950,213,25,34,1
muskego,202208,524900,212,22,47,1
muskego,202209,549339,239,32,44,1
muskego,202210,496390,220,24,58,1
muskego,202211,516872,219,38,62,1
muskego,202212,543749,255,69,41,1
muskego,202301,554020,258,98,35,1
muskego,202302,548700,260,128,32,1
muskego,202303,538700,255,77,30,1
muskego,202304,549900,244,39,33,1
muskego,202305,554300,232,25,54,1
muskego,202306,556900,237,32,64,1
muskego,202307,556900,247,36,65,1
muskego,202308,559752,249,43,48,1
muskego,202309,554900,251,29,43,1
muskego,202310,549900,241,29,44,1
muskego,202311,549900,234,40,39,1
muskego,202312,549900,234,50,29,1
muskego,202401,587485,261,58,24,1
muskego,202402,589969,290,53,24,1
muskego,202403,576949,264,43,29,1
muskego,202404,589925,261,23,40,1
muskego,202405,617425,257,30,43,1
muskego,202406,614950,245,34,44,1
muskego,202407,599974,237,34,51,1
muskego,202408,534900,237,37,51,1
muskego,202409,467475,235,28,49,1
muskego,202410,484700,236,32,53,1
muskego,202411,619450,243,38,49,1
muskego,202412,631150,251,49,34,1
muskego,202501,639676,261,51,31,1
muskego,202502,660132,265,69,27,1
muskego,202503,684769,264,44,29,1
muskego,202504,623063,249,23,43,1
muskego,202505,598900,241,30,44,1
muskego,202506,612000,246,29,31,1
muskego,202507,639999,249,26,28,1
